duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
3,tcp,ftp_data,S0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1.00,1.00,0.00,0.00,0.04,0.96,0.01,255,1,0.00,1.00,0.01,0.00,1.00,1.00,0.00,0.00
2,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,1.00,1.00,0.00,0.00,0.00,1.00,0.50,10,5,0.50,0.50,0.10,0.10,1.00,1.00,0.00,0.00
100,tcp,http,RSTO,2354,0,0,0,0,2,4,0,2,1,1,1,0,1,0,0,0,0,12,12,0.90,0.90,0.10,0.10,0.20,0.80,0.30,50,40,0.80,0.20,0.50,0.25,0.90,0.90,0.10,0.10
0,tcp,telnet,S0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1.00,1.00,0.00,0.00,0.00,1.00,0.01,255,2,0.01,0.99,0.02,0.01,1.00,1.00,0.00,0.00
5,tcp,smtp,SF,1000,8000,0,0,0,0,0,1,2,1,1,1,1,1,1,0,0,0,25,25,0.80,0.80,0.20,0.20,0.90,0.10,0.10,40,20,0.50,0.50,0.25,0.25,0.80,0.80,0.20,0.20
8,udp,domain_u,SF,210,300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3,3,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
13,tcp,ftp_data,S0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,1.00,1.00,0.00,0.00,0.00,1.00,0.05,100,5,0.05,0.95,0.01,0.02,1.00,1.00,0.00,0.00
60,tcp,http,SF,4096,25600,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,30,30,0.75,0.75,0.25,0.25,0.80,0.20,0.10,60,60,1.00,0.00,0.30,0.10,0.75,0.75,0.25,0.25
1,tcp,other,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1.00,1.00,0.00,0.00,0.00,1.00,0.50,10,1,0.10,0.90,0.10,0.10,1.00,1.00,0.00,0.00
4,tcp,telnet,S0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,1.00,1.00,0.00,0.00,0.00,1.00,0.02,200,2,0.01,0.99,0.02,0.01,1.00,1.00,0.00,0.00
