duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
134,2,70,1,9076,635,1,0,0,0,8,1,2,0,0,6,9,4,7,9,1,0,70,67,0.7128571493716126,0.06666156761390019,0.6446207748223659,0.9579329141773713,0.3395052418664656,0.6656440030850367,0.6405344831491253,72,76,0.9389828874199768,0.1792026102701212,0.5213446766208887,0.7019086692068801,0.4539191124401609,0.29980227467141385,0.43491759269142827,0.9591065184842248,1
77,2,55,1,5288,9940,0,0,1,0,5,1,5,0,0,8,5,9,6,1,1,1,42,39,0.2737508030509651,0.6523410423461089,0.44436007030001745,0.011069009578033806,0.4155235972574185,0.30811828516400064,0.5037145744577852,33,23,0.014421945398605418,0.712180208845036,0.36343644612383574,0.890656552875697,0.6839903838132856,0.7931244449200278,0.355854505213161,0.393091168755653,1
752,3,70,1,8359,8212,0,1,1,0,7,0,6,0,0,1,0,4,8,0,1,0,73,68,0.09513399297660297,0.15299896240106714,0.6221664461854813,0.6736678459355664,0.1544763059446529,0.3498056406025508,0.43021964579159877,63,59,0.3988579087004499,0.1149730853644153,0.882511410977931,0.9554065066919998,0.06864438163558995,0.8577047989508345,0.41466626081467783,0.28430687226572815,1
693,2,45,4,3567,4700,0,1,0,1,4,0,0,0,0,1,2,6,2,6,0,0,31,71,0.008387637225362177,0.16290792281672017,0.8562017848048673,0.18862040473572284,0.08887108407306987,0.3336459395809177,0.2902058474095015,63,91,0.6934273118989884,0.04883361468210978,0.8123345007127701,0.30846383095584085,0.007523807273890126,0.3228271041962075,0.7269472892706905,0.5445733595299199,0
195,3,45,4,1754,4974,1,0,0,1,9,1,0,0,1,5,8,7,5,2,1,0,94,78,0.9329308391109971,0.30424759388578093,0.6003257715813949,0.31416741517029667,0.7433042201383101,0.7029087247432052,0.3884694365514797,12,52,0.6835130057287756,0.9973094916760684,0.7677995209729204,0.12572074793764154,0.434181531505885,0.9595049246795616,0.373259644096008,0.10485958312163945,0
58,3,45,3,5052,5603,0,0,1,1,2,1,0,1,0,1,5,8,0,8,0,1,89,75,0.6337701748233137,0.7685850835057928,0.06610947278241885,0.0023826359004537334,0.6266302029928872,0.05352331848334679,0.48073799536529094,36,62,0.4041959217166292,0.18490869212170058,0.35810921554253794,0.25287833431800255,0.41744965711294957,0.5877896470136198,0.8535359159925717,0.5011707698674877,0
431,3,45,3,8292,4380,1,0,0,0,6,1,2,1,1,4,7,1,4,1,1,0,5,12,0.9055722225501669,0.8436290799784683,0.1951324403575576,0.7011025435888346,0.7560600716594552,0.5547298488160705,0.8115532795727678,94,1,0.8131777035075498,0.05592930577872579,0.6516532182787008,0.4455089828543951,0.8486328417002499,0.873559318195239,0.9637898335847054,0.43012354706963707,0
767,3,45,2,3686,455,0,0,0,0,4,1,5,0,1,6,1,9,0,0,0,1,23,28,0.617095015945196,0.7878710488246821,0.8357708595728112,0.5055008532194252,0.012903386858814314,0.02397530530478975,0.29303750516853755,70,80,0.4082240750876951,0.2631220376444775,0.9555399838896941,0.4900659648758492,0.9780540049698849,0.037922832413776586,0.1838328255216286,0.6737647727405275,0
823,1,45,1,4058,488,0,0,1,1,2,1,1,0,1,7,6,8,1,9,0,1,33,6,0.4322503161463864,6.066327018205975e-05,0.7162782181928979,0.7291911497817842,0.4764271797026429,0.13263944082442658,0.8759475436667022,78,7,0.6112001117731045,0.3740242045964449,0.12769424279322272,0.4358089324375989,0.931611873235515,0.3810465328647338,0.12644424556812928,0.9569220448020627,1
6,2,70,2,5363,6627,0,0,1,1,5,1,2,0,0,4,8,5,6,9,0,1,32,85,0.4208714661107087,0.4276781982642479,0.9044289465646255,0.2845710507772208,0.25810261438911775,0.769716294612744,0.9185323565395527,72,34,0.798717438229843,0.1053386435117949,0.4874564379760572,0.0391002802475896,0.10853253132001406,0.04711031024560153,0.7359883777178092,0.20690984423485714,0
67,1,45,1,9844,4121,0,1,0,0,9,0,5,0,1,0,3,1,1,6,0,1,44,35,0.11022132033725973,0.5168990649404125,0.5897179253927025,0.6702242242384191,0.0984415700864697,0.9759898668840381,0.9709240605660417,71,39,0.2558222728984494,0.3253696765214237,0.5621397052097287,0.03140515948601741,0.5295047035966737,0.01249102410109848,0.13287586462738188,0.5718316544511125,0
245,1,55,2,4216,2593,0,1,1,0,9,0,6,0,0,0,2,4,2,4,1,0,23,47,0.42894920396761993,0.15840403480121557,0.2759141208798327,0.35797234331532435,0.6486839286623036,0.6106991395987321,0.015352158245265701,38,7,0.6985755609184279,0.011346642338779689,0.2091120780934126,0.43068671886755494,0.05408872076142679,0.0727785506467763,0.29893320065584406,0.08263552249219464,0
6,3,45,4,458,4913,0,0,0,1,7,0,3,1,0,4,2,4,9,6,1,1,38,0,0.9199278290762392,0.743871138822965,0.816830477120584,0.8140867904263533,0.3951079398358428,0.1915172039030405,0.869206604809574,9,63,0.07788459849425455,0.16347859850766777,0.13845033994321965,0.26941980787916,0.09638164683560446,0.24599276460045905,0.9105774582034599,0.311682039021308,0
313,1,55,2,6183,6432,1,0,0,0,0,1,1,1,1,9,9,6,1,7,1,0,84,15,0.8804025105691282,0.14169889194269292,0.27011156128046065,0.26207190299466987,0.8159342075089251,0.23763030833252397,0.6394370911205319,92,44,0.605776563651828,0.740063292044008,0.31698008086043594,0.4540943876122626,0.693831233272436,0.8452406134834262,0.20937078564611467,0.48295718070949767,1
788,3,70,3,9922,6434,1,1,0,0,8,1,4,1,1,0,2,3,4,6,1,1,33,39,0.987186868008976,0.7010401578464571,0.49762238221001687,0.08815096557781998,0.04654863587947655,0.5478498105489258,0.8422973320380838,95,78,0.9109812212891711,0.21974645703425444,0.6650351633934949,0.7939993567005844,0.7409602563366907,0.7202908391286156,0.6738592358155598,0.5710138691054143,1
403,1,55,3,6320,2148,1,1,1,0,3,1,2,0,0,1,0,1,5,5,1,0,75,97,0.16931444970323484,0.6502977884614296,0.31698027943147966,0.9693380781554926,0.019332210236770675,0.443422154222213,0.13399492550864178,59,20,0.12011155755406988,0.13064696482767602,0.6292987966009045,0.9131062405673259,0.5925156198709882,0.13489562688129997,0.16052737981507426,0.4310219172990516,1
969,1,55,2,1563,3500,0,0,1,0,2,0,0,0,0,5,7,1,7,1,0,0,30,62,0.8113681626684837,0.18512787105485762,0.5276860186308928,0.6487534247669758,0.0816203851577435,0.2382693580232661,0.352223085418059,41,81,0.4559256208627255,0.768289681038367,0.8349430260762152,0.10379078698735,0.3720213367712297,0.3873409098743399,0.06706843556284747,0.43808044237205734,1
392,1,45,3,5076,6423,1,1,1,1,0,1,9,1,1,6,1,5,7,7,0,1,67,98,0.28176995747677513,0.42812086426057316,0.07425968296509322,0.5898443724808815,0.8768275498799513,0.4361986394163986,0.8840500077033909,28,13,0.8982797150535001,0.6875961166798026,0.48621145675335686,0.7590045927377408,0.7776861495985331,0.8399939705675507,0.9527995332453126,0.9542625822812091,0
445,1,70,2,9176,6982,0,1,0,1,6,1,0,0,1,0,3,0,7,2,0,0,82,15,0.5670460165930116,0.455533736544086,0.39593654075462503,0.5166879706306818,0.8834259958648705,0.7612529117948473,0.6314340191680642,16,69,0.6883611595985605,0.55794182132275,0.7856068504107251,0.28851601306546915,0.23052685805986983,0.36782664371737717,0.7210235614136756,0.618190769789808,0
303,1,70,1,7500,9881,1,1,0,1,4,1,9,1,1,1,5,8,8,5,0,0,74,87,0.9919699157849264,0.06519736492044481,0.03336252681086671,0.7118219117334632,0.6683708979724796,0.6921734717036166,0.08022407725818559,23,71,0.3483572485214752,0.6675616505251949,0.8137604108278997,0.4903621408959936,0.6128840193690503,0.12921488379225354,0.7635101841769613,0.6688502073406702,0
118,1,45,3,9474,1892,1,1,0,0,7,0,4,1,0,6,0,6,8,8,1,0,48,77,0.6714415553248221,0.7500218919762061,0.4650374245874773,0.9756281873508553,0.4843522483812067,0.005164409767530298,0.23129493891496,18,1,0.160037162500548,0.501270269806977,0.2770465080684241,0.8616260842139211,0.6846263816558537,0.14162125281475857,0.60903527535869,0.65036243128454,1
310,3,45,1,3606,3152,1,1,1,0,6,1,6,1,0,1,8,4,9,4,0,0,27,94,0.73339386797938,0.81877632359457,0.2842776106340765,0.8643915123466589,0.17656015814421666,0.4421345783927201,0.9162006977922117,42,90,0.06757519856460115,0.9875594255317297,0.46082769713278215,0.3031315354917491,0.35393603411694563,0.6026182495076222,0.006655008691114905,0.8336506112970321,0
403,1,45,1,3040,6543,1,0,0,0,6,1,7,0,1,1,5,1,4,6,1,1,45,23,0.5447160120806755,0.5262967705778818,0.07073520343846673,0.032065182741647935,0.1114440604616661,0.05081077178029536,0.1432987219847336,3,25,0.7920511898654335,0.7229048279276075,0.5904176989917982,0.5599234195439703,0.2156352380386518,0.9631797219265393,0.7024455116581602,0.2040275174606263,0
41,3,45,1,1528,3093,0,1,1,0,7,0,3,1,1,5,2,7,8,2,0,1,5,26,0.967772672783533,0.2070054648789058,0.8046428033434851,0.2533823936267009,0.9879327298063139,0.3529952307862977,0.5769282155466797,39,20,0.9894488009667051,0.5032925993544207,0.5243012154353923,0.5178153154036742,0.3155178656730727,0.711793755457627,0.24155868885315668,0.9566589277637125,0
159,2,70,4,7326,50,0,0,0,0,2,0,2,1,1,7,2,7,1,1,0,0,96,4,0.4434122306057513,0.7524776011363743,0.06810415617381582,0.03492875080834135,0.17600497678563765,0.47692691564291434,0.14385462109779767,33,59,0.5273524002899169,0.5903301105565222,0.24622961689352363,0.34210919192279654,0.9366207052303996,0.5835838005858515,0.1588384748515348,0.43192485914987544,1
