duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
3,tcp,http,S0,987654,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987,850,0.95,0.92,0.05,0.08,0.12,0.88,0.85,254,253,0.15,0.85,0.10,0.90,0.93,0.91,0.07,0.09
4,tcp,ftp,S0,876543,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,720,0.94,0.90,0.06,0.10,0.18,0.82,0.80,253,251,0.20,0.80,0.15,0.85,0.91,0.89,0.09,0.11
2,tcp,ssh,S0,765432,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,680,0.93,0.88,0.07,0.12,0.25,0.75,0.75,252,249,0.25,0.75,0.20,0.80,0.89,0.87,0.11,0.13
5,tcp,dns,S0,654321,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,630,0.92,0.86,0.08,0.14,0.30,0.70,0.70,251,247,0.30,0.70,0.25,0.75,0.87,0.85,0.13,0.15
3,tcp,smtp,S0,543210,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,590,0.91,0.84,0.09,0.16,0.35,0.65,0.65,250,245,0.35,0.65,0.30,0.70,0.85,0.83,0.15,0.17
12,tcp,http,SF,432,5432,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,3,0.02,0.01,0.01,0.01,0.98,0.02,0.01,50,45,0.95,0.05,0.97,0.03,0.05,0.04,0.03,0.02
8,udp,dns,SF,321,4321,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,0.01,0.01,0.01,0.01,0.99,0.01,0.01,60,50,0.96,0.04,0.98,0.02,0.04,0.03,0.02,0.01
6,icmp,ping,SF,210,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.01,0.01,0.01,0.01,1.00,0.00,0.00,70,55,0.97,0.03,0.99,0.01,0.03,0.02,0.01,0.01
18,tcp,ssh,SF,123,2109,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,0.03,0.02,0.02,0.02,0.97,0.03,0.02,80,65,0.94,0.06,0.96,0.04,0.06,0.05,0.04,0.03
15,tcp,smtp,SF,345,1234,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,4,0.02,0.02,0.02,0.02,0.98,0.02,0.02,90,75,0.95,0.05,0.97,0.03,0.05,0.04,0.03,0.02
32,tcp,http,SF,567,5678,0,0,0,0,5,0,1,0,1,0,1,0,7,0,0,0,12,8,0.45,0.40,0.35,0.30,0.55,0.45,0.40,110,85,0.60,0.40,0.65,0.35,0.42,0.38,0.32,0.28
28,tcp,http,SF,678,6789,0,0,0,0,6,0,1,0,1,0,1,0,8,0,0,0,15,10,0.50,0.45,0.40,0.35,0.50,0.50,0.45,120,95,0.55,0.45,0.60,0.40,0.47,0.42,0.37,0.32
25,tcp,http,SF,789,7890,0,0,0,0,4,0,1,0,1,0,1,0,9,0,0,0,18,12,0.55,0.50,0.45,0.40,0.45,0.55,0.50,130,105,0.50,0.50,0.55,0.45,0.52,0.47,0.42,0.37
38,tcp,http,SF,890,8901,0,0,0,0,7,0,1,0,1,0,1,0,10,0,0,0,20,15,0.60,0.55,0.50,0.45,0.40,0.60,0.55,140,115,0.45,0.55,0.50,0.50,0.57,0.52,0.47,0.42
42,tcp,http,SF,901,9012,0,0,0,0,8,0,1,0,1,0,1,0,11,0,0,0,25,18,0.65,0.60,0.55,0.50,0.35,0.65,0.60,150,125,0.40,0.60,0.45,0.55,0.62,0.57,0.52,0.47
