duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
120,tcp,http,SF,1458,12784,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0.00,0.00,0.00,0.00,1.00,0.00,0.00,62,62,1.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0
45,udp,dns,SF,38,229,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1,1,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0
893,tcp,https,SF,2048,14752,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0.00,0.00,0.00,0.00,1.00,0.00,0.00,255,255,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
15,udp,dhcp,S0,334,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0.50,1.00,0.50,0.50,0.50,0.50,0.50,2,1,0.50,0.50,1.00,0.00,1.00,0.50,1.00,0.50,1
75,tcp,telnet,RSTO,1825,259,0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,3,3,0.33,0.33,0.33,0.33,1.00,0.00,0.00,10,3,0.30,0.70,0.20,0.00,0.30,0.30,0.40,0.40,1
180,tcp,ssh,REJ,1280,2048,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,1.00,1.00,0.00,0.00,1.00,0.00,0.00,15,15,1.00,0.00,0.10,0.00,1.00,1.00,0.00,0.00,1
30,tcp,smtp,SF,320,4280,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,1.00,0.00,0.00,30,30,1.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0
60,tcp,ftp,SF,1024,8192,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0.00,0.00,0.00,0.00,1.00,0.00,0.00,45,45,1.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0
10,udp,dns,SF,82,187,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1,1,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0
300,tcp,http,S1,12288,102400,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,15,15,0.80,0.80,0.20,0.20,1.00,0.00,0.00,100,100,1.00,0.00,0.01,0.00,0.80,0.80,0.20,0.20,1
